Date,HDFCBANK.NS,AXISBANK.NS,ICICIBANK.NS
2022-09-09 00:00:00+00:00,1498.5999755859375,784.8499755859375,901.25
2022-09-12 00:00:00+00:00,1493.550048828125,801.0,907.2000122070312
2022-09-13 00:00:00+00:00,1513.0999755859375,805.5499877929688,910.0
2022-09-14 00:00:00+00:00,1528.6500244140625,803.0499877929688,918.0999755859375
2022-09-15 00:00:00+00:00,1520.699951171875,790.0,917.5999755859375
2022-09-16 00:00:00+00:00,1492.75,789.2999877929688,909.0999755859375
2022-09-19 00:00:00+00:00,1502.5999755859375,798.0999755859375,899.2000122070312
2022-09-20 00:00:00+00:00,1520.699951171875,812.75,916.75
2022-09-21 00:00:00+00:00,1518.3499755859375,806.5499877929688,915.25
2022-09-22 00:00:00+00:00,1486.0,789.2000122070312,903.4000244140625
2022-09-23 00:00:00+00:00,1446.1500244140625,768.5999755859375,882.25
2022-09-26 00:00:00+00:00,1426.6500244140625,742.5999755859375,861.0499877929688
2022-09-27 00:00:00+00:00,1413.8499755859375,737.5,852.5499877929688
2022-09-28 00:00:00+00:00,1389.550048828125,716.4500122070312,849.5
2022-09-29 00:00:00+00:00,1382.3499755859375,719.0,843.9000244140625
2022-09-30 00:00:00+00:00,1421.3499755859375,733.2000122070312,862.0
2022-10-03 00:00:00+00:00,1413.199951171875,722.75,848.3499755859375
2022-10-04 00:00:00+00:00,1453.0,742.7999877929688,867.6500244140625
2022-10-06 00:00:00+00:00,1437.0,755.0999755859375,885.4500122070312
2022-10-07 00:00:00+00:00,1430.800048828125,755.7000122070312,882.5499877929688
2022-10-10 00:00:00+00:00,1415.0,776.8499755859375,881.75
2022-10-11 00:00:00+00:00,1400.6500244140625,785.5499877929688,870.5999755859375
2022-10-12 00:00:00+00:00,1409.800048828125,808.7000122070312,868.3499755859375
2022-10-13 00:00:00+00:00,1393.5999755859375,802.0,853.5999755859375
2022-10-14 00:00:00+00:00,1439.0,800.5,870.25
2022-10-17 00:00:00+00:00,1446.550048828125,814.1500244140625,885.2000122070312
2022-10-18 00:00:00+00:00,1443.8499755859375,816.3499755859375,896.9000244140625
2022-10-19 00:00:00+00:00,1458.6500244140625,829.8499755859375,892.0999755859375
2022-10-20 00:00:00+00:00,1448.800048828125,825.8499755859375,888.6500244140625
2022-10-21 00:00:00+00:00,1438.5999755859375,900.4000244140625,907.1500244140625
2022-10-24 00:00:00+00:00,1461.050048828125,909.4500122070312,926.2999877929688
2022-10-25 00:00:00+00:00,1450.9000244140625,902.8499755859375,925.0499877929688
2022-10-27 00:00:00+00:00,1454.4000244140625,915.1500244140625,924.4000244140625
2022-10-28 00:00:00+00:00,1458.699951171875,903.0499877929688,907.8499755859375
2022-10-31 00:00:00+00:00,1496.699951171875,906.0,908.7000122070312
2022-11-01 00:00:00+00:00,1513.25,871.75,908.5999755859375
2022-11-02 00:00:00+00:00,1514.199951171875,863.5499877929688,904.7000122070312
2022-11-03 00:00:00+00:00,1507.550048828125,864.0499877929688,908.6500244140625
2022-11-04 00:00:00+00:00,1497.1500244140625,868.0999755859375,905.2999877929688
2022-11-07 00:00:00+00:00,1508.800048828125,872.9500122070312,917.5
2022-11-09 00:00:00+00:00,1508.3499755859375,873.7000122070312,910.5
2022-11-10 00:00:00+00:00,1524.75,843.7000122070312,910.7000122070312
2022-11-11 00:00:00+00:00,1611.1500244140625,850.7000122070312,906.5499877929688
2022-11-14 00:00:00+00:00,1615.050048828125,851.0,894.9500122070312
2022-11-15 00:00:00+00:00,1619.0,858.6500244140625,911.7000122070312
2022-11-16 00:00:00+00:00,1632.9000244140625,855.4000244140625,913.5999755859375
2022-11-17 00:00:00+00:00,1618.1500244140625,858.2000122070312,919.7999877929688
2022-11-18 00:00:00+00:00,1613.9000244140625,859.2000122070312,920.3499755859375
2022-11-21 00:00:00+00:00,1597.3499755859375,870.0499877929688,921.4000244140625
2022-11-22 00:00:00+00:00,1595.0,870.0499877929688,923.7000122070312
2022-11-23 00:00:00+00:00,1599.1500244140625,874.7000122070312,927.4500122070312
2022-11-24 00:00:00+00:00,1625.1500244140625,878.5499877929688,938.8499755859375
2022-11-25 00:00:00+00:00,1617.6500244140625,887.75,930.2999877929688
2022-11-28 00:00:00+00:00,1600.25,891.7000122070312,937.4000244140625
2022-11-29 00:00:00+00:00,1597.8499755859375,892.5499877929688,946.75
2022-11-30 00:00:00+00:00,1608.449951171875,901.25,952.9000244140625
